,text,label
4105,$AMTB - Amerant Bancorp declares $0.09 dividend  https://t.co/Uz7MzaRHOw,4
1344,"Prestigous West Coast Academic Medical Center Renews Six-Figure, Multi-Year Agreement For Privacy And Security Managed Services.  https://t.co/Efi7dDNCuT  https://t.co/uHdvf4lh3J",2
12264,"$NUVL: Nuvalent announces leadership promotions; Darlene Noci, A.L.M. promoted to Chief Development Officer  https://t.co/Z3SIMZ2Hqd",17
13662,"The UK's Labour party is preparing to force a confidence vote in Boris Johnson's government, challenging Tory MPs to oust the prime minister as they hold a leadership contest  https://t.co/BUUTkGN9OG",16
15338,$INTU $ORCL - The Better Buy In Business Software And Cloud/AI: Oracle Or Intuit?.  https://t.co/zsouaCMuov #stocks #business #finance,18
14807,Retail stocks that historically laugh in the face of recession  https://t.co/VRp8M8rbVH @BrianSozzi  https://t.co/7GVqYBZsaX,18
3537,Packaged-food giant Conagra expects shoppers to grow increasingly wary about higher grocery bills  https://t.co/exZekua1kP,2
16832,Canadian bond and Index update  @MtlExchange  https://t.co/pXYuT1rwcj,3
5264,"$ANGO - AngioDynamics, Inc.'s (ANGO) CEO Jim Clemmer on Q4 2022 Results - Earnings Call Transcript.  https://t.co/v0Kmmg0qQS #investing #business #stocks",5
3450,"Day two of the Farnborough International Airshow kicks off with more jet orders expected, including a potential deal between Airbus and Air Lease  https://t.co/1PJXtjUaWr",2
14108,$AMZN the 15/30 min chart is stretched and going to need basing soon,18
5971,"The ECB is in a tight spot. Inflation is mostly down to soaring energy costs, and higher rates may have a limited effect on prices (via @carolynnlook)  https://t.co/twNFSIMTRN",1
14421,$NEPT $PETZ low floats on the move !!!,18
7144,"$DAL - Delta Air Lines Non-GAAP EPS of $1.44 misses by $0.28, revenue of $13.8B beats by $400M  https://t.co/MUyCwkA6Ve",7
1737,ConocoPhillips and Sempra Infrastructure Sign Heads of Agreement for Large-Scale LNG Projects and Carbon Capture Activities  https://t.co/GPunT7XoU5  https://t.co/IcufOZkBYv,2
15992,$RBA: Ritchie Bros. shares -8% after National Bank downgraded to Underperform from Sector Perform  https://t.co/S91vhAUo8C,19
4237,$QCAAF - Quinsam Capital declares CAD 0.0013 dividend  https://t.co/9AoMDPoePR,4
15933,#Communication services stocks all trade higher $XLC $META $GOOG $NFLX $VZ $TNX $SPY $QQQ $DIA $SPX $COMPQ $DJIA  https://t.co/LzEmmlQJhI #economy #stockmarket,19
5884,"The #CFOSurvey is a quarterly joint survey effort between @DukeFuqua, @RichmondFed and @AtlantaFed.  https://t.co/HaNBRCTWyc  https://t.co/H7yIFI2FLT",1
11351,A blind spot is building up in the UK energy market as temperatures are set to break new records in England  https://t.co/tL3mHv3DY7,14
7416,A note circulated by BlackRock has triggered a rethink across the embattled ESG industry  https://t.co/r4bXe4ax8X,9
10035,Real disposable income was flat in May.  https://t.co/XAK7K7Km7H  https://t.co/0sBFV6zPOS,14
1243,"Kowa Pharmaceuticals America,Inc. Announces Publication of Phase 3 Data Supporting FDA Approval of SEGLENTIS®(celecoxib 56-mg and tramadol hydrochloride 44mg)CI-V as an Efficacious Alternative for Moderate-to-Severe Acute Pain in Appropriate Patients  https://t.co/WB4tHU0p9Q  https://t.co/DeUCbwEpIs",2
558,"$LEV: Lion Electric announced that its customers in Canada can now receive up to $150,000 in funding under Transport...  https://t.co/qIWo7giDk5",2
7100,"$PGR - ProgressiveEPS of -$0.94, revenue of $12.15B misses by $340M  https://t.co/dlDTpWJiMs",7
13999,$GILD $FL $VIX,18
6691,"Delta posts profit despite jump in costs, vows to improve reliability after airline 'pushed too hard'  https://t.co/kSgaVnBCnD",7
12900,Spanish banks: populist hopes to tap into higher bank profits  https://t.co/5H0D7SWQcX  | opinion,16
6957,$RCBC - River City Bank GAAP EPS of $5.98  https://t.co/yrbUAwMLfU,7
10428,Ghana’s inflation rate jumps to the highest level in almost 19 years as transport costs surged  https://t.co/Uf9HHijPIw,14
5923,The Nigerian central bank’s plan to rein in inflation may prove to be even more difficult after diesel prices tripled in June and show little signs of relenting  https://t.co/qoOTsXJbD5,1
3838,Euro breaks through parity amid concern for U.S. inflation and eurozone energy crisis  https://t.co/gfdnoDhG4U,8
7792,The former Anglo American CEO is talking to private equity firms about ways to invest in the mining sector as the energy transition gathers pace  https://t.co/tn75NIuFo1,9
13715,BREAKING: President Biden signs executive order aimed at protecting abortion access as more states enact bans after the Supreme Court ruled to overturn Roe v. Wade.  https://t.co/Hd3hq242jK,16
7878,"MBS's futuristic desert megaproject is supposed to have a ski resort, swim lanes for commuters, and ""smart"" everything.  Even with a $500 billion budget, Neom's builders say it’s sliding into science fiction.  Read The Big Take ⬇️  https://t.co/rFurHvJyea via @BW",9
13665,Michigan voters will decide this fall whether the state will preserve the right to legal abortions  https://t.co/75oMEdjpfj,16
9820,$LHCG - LHC Group: UnitedHealth Merger Is Worth Playing.  https://t.co/g79r7pfkik #finance #stockmarket #business,13
8398,"For bulls searching for signals that the worst is over, the exodus from smaller companies is ominous because the group is traditionally viewed as the most exposed to the domestic economy  https://t.co/ukoabLaY7Y",9
8782,Listen on @Breakingviews: @petesweeneypro chats with host @aimeedonnellan about the assassination of Japan’s former Prime Minister Shinzo Abe and what it means for the country.   Plus: @pierrebri discusses the euro's slump  https://t.co/8Ak7ln8IxF,9
1762,Rapid Dose Therapeutics Provides Bi-Weekly MCTO Status Update  https://t.co/8j70hyKUPK  https://t.co/kQNUmLbs7v,2
3952,BREAKING: Euro falls to parity with US dollar for the first time since 2002  https://t.co/oWc7Qav1FZ  https://t.co/CKnKtPUWcb,8
7378,"California’s third-busiest port of Oakland shut down some of its gates and marine terminals for a third day Wednesday as truckers protest a gig-work law that could take 70,000 drivers off the road  https://t.co/wW96rMmsuU",9
2234,Lead Director Martin Burian’s Inexplicable Trading Activity at Canagold and Previously Undisclosed Management Cease Trade Order Uncovered by Sun Valley  https://t.co/RY6E9CX1mm  https://t.co/zNrggGynE3,2
1908,Aeva Achieves Major Milestone As First Aeries II 4D LiDAR Sensors Ship to Strategic Customers  https://t.co/UVCyraTuR5  https://t.co/eC9PyZp3Gi,2
15445,$GOOG $GOOGL - Ranking Recession Readiness: Is Google Prepared For The Recession?.  https://t.co/W2o6F12Ask #business #stockmarket #investing,18
3063,Formula E emerges as 'real-world testbed' for EV technology  https://t.co/8tcYKresQU by @Pras_S  https://t.co/92Bgiq2Djp,2
9352,South Africa's Competition Commission provisionally finds that Google Search's practices distort competition in the tech giant's favor  https://t.co/KOnEUHq6Wd,12
3621,"Vale's plan to turn around its copper and nickel-mining unit is taking longer than expected, risking a delay to a possible sale or spinoff of a group the miner says could be worth $40 billion  https://t.co/vhT25A8Od1",2
6327,Draghi Said To Signal Determination To Quit As Italian PM Next Week,1
6235,Italy still needs Mario Draghi  https://t.co/lsZf4AoxxL,1
5848,"JUST IN: Singapore's central bank says it intends to expand crypto regulations, including tightening retail investors' access even more  https://t.co/IenSmPbl9F",1
16189,$SASBQ $SASDQ - SAS shares push higher as pilot strike ends  https://t.co/hxs6hfzbus,19
12957,"An unprecedented global agreement on how to tax corporations, a key diplomatic win of Biden’s administration, is at risk of unraveling after members of his own party delayed a crucial vote  https://t.co/5J4rtXzjvB",16
16151,$JBHT - J.B. Hunt stock slips despite earnings beat  https://t.co/oqjubjLlun,19
15877,Pinterest shares soar after report that Elliott Management has acquired a 9% stake  https://t.co/yXB6Vzl6kR,19
11131,Japan Machine Tool Orders (Y/Y) Jun P: 17.1% (prev 23.7),14
2733,$RHHBY - Roche touts long-term data of Perjeta combination therapy for breast cancer  https://t.co/ewYbUc4PUx,2
11032,UK ILO Unemployment Rate (3M) Apr: 3.8% (est 3.8%; prev 3.8%)  - Wkly Earnings Ex-Bonus (3M/Y/Y) Apr: 4.3% (est 4.3%; prev 4.2%)  - Avg Wkly Earnings (3M/Y/Y) Apr: 6.2% (est 6.7%; prev 6.8%)  - Employment Change (3M/3M) Apr: 296K (est 170K; prev 177K),14
13310,"Biden meet with Palestinian President Mahmoud Abbas during his visit to the Middle East, and pledged to bring the Palestinians and Israelis sides together  https://t.co/o1fSzOhbw1  https://t.co/2T5upfDwgr",16
1582,Scholar Rock to Present New Preclinical Data on its Targeted Approach to the LTBP-TGFβ1 Complex for Anti-Fibrotic Therapy at the 2022 FASEB Science Research Conference  https://t.co/r4HTvuqyho  https://t.co/GwPNI7dO4n,2
9221,"BANK OF AMERICA FINED $225 MLN FOR 'BOTCHED' DISBURSEMENT OF JOBLESS BENEFITS, WRONGFULLY FROZEN ACCOUNTS, BANK REGULATORS SAY",12
6751,"$ABT: Abbott Labs beats by $0.29, beats on revs; raises FY22 EPS above consensus  https://t.co/UTGx5hO0X6",7
11482,The UK economy grew more than expected in May as a strong rebound in health services offset a drop in hospitality and consumer-facing services  https://t.co/elyscbf5Cx,14
8093,"Russia’s attack on Ukraine is a warning for the EU to uphold democratic standards as nations like Poland and Hungary continue to lag, the bloc's executive warns  https://t.co/lvzrI4IBcm",9
5198,$TMOAF $TMOAY - TomTom N.V. 2022 Q2 - Results - Earnings Call Presentation.  https://t.co/LnGCLuOHeU #economy #business #stocks,5
15380,$BORR - Borr Drilling: What To Make Of The Refinancing Mess.  https://t.co/mmLVIp4Ust #stockmarket #stocks #business,18
5442,"$USO $CL1:COM - U.S. crude stockpiles rose 1.8M barrels last week, API says  https://t.co/Yswl5YEXnc",6
6932,"$BX - Blackstone Q2 earnings beat consensus, but many strategies saw negative returns  https://t.co/kd2rXz5hGv",7
3370,"London Stock Exchange is lobbying hard for the chip designer Arm to list in the UK, according to CEO Julia Hoggett  https://t.co/94WRJEzqcv",2
13323,"Biden warned Iran that the US won’t wait “forever” for Iran to agree to new curbs on its nuclear program, while Israeli Prime Minister Yair Lapid warned that his country is prepared to defend itself should Tehran get closer to developing a weapon  https://t.co/RjBVSRdGgg  https://t.co/Bzyoj7oqO5",16
14160,$DHR nice high base daily. It is hitting its head on the 100ma.  ER soon.  A name from my go to list. No position at this time,18
10289,China’s economic outlook for the second half of this year will be determined by the government’s shaky control over coronavirus outbreaks and the property market (via @hancocktom)  https://t.co/b5v6pLaw4O,14
3844,"The euro suffers another big selloff, pushing it closer to parity against a strong dollar  https://t.co/Jj19lpXJui",8
13727,Zelenskyy fires security chiefs over ‘treasonous’ officials  https://t.co/p7cxSWQkDY,16
14213,Someone selling a ton of $SE puts to open Sep and Nov 60,18
4316,$PEP - PepsiCo: 50th Yearly Dividend Increase To $1.15/Quarter; A New Dividend King.  https://t.co/sXdkxHo9C2 #stocks #economy #stockmarket,4
14915,$PLTR continues to act well. Decent relative strength recently.  https://t.co/Sa3FZsMW3e,18
4846,"Fiserv to Release Second Quarter Earnings Results on July 26, 2022  https://t.co/0RjNEcT2eB  https://t.co/cz9kIXBuBr",5
11742,EU edges closer to ending 'too-big-to-fail' banks by 2024  https://t.co/1v6a8IgUnv  https://t.co/wPanLPB69o,14
7918,The Kansas City Royals spent Thursday patching up a roster missing 10 players barred from traveling to Toronto because of their Covid vaccination status while trying to smooth over their damaged image among fans  https://t.co/HM9Sk16hyk (via AP),9
13040,"Ivana Trump, ex-wife of former President Trump, dies at 73  https://t.co/ixKBwqiG4O",16
14217,$SAVA also seeing Aug put buying,18
3463,"Starbucks CEO Howard Schultz said the coffee giant plans to close more stores, citing safety risks  https://t.co/5ZLs3odeMK",2
877,"Kansas City Southern Releases “For the Long Haul” Sustainability Report, 2021 Sustainability Data Update  https://t.co/V91Edn1sYn",2
9359,A London court is finally set to decide who controls more than $1 billion of Venezuelan gold stored in the Bank of England’s vaults  https://t.co/SnPzHDyBKw,12
1744,"Six Flags Offers Thrills, Inclusivity and Safety for Everyone  https://t.co/LdICsBxkGZ  https://t.co/GEehym8Gsn",2
8560,@ASpiroglou thanks Alex,9
16484,$IEP (-0.5% pre) Icahn Enterprises L.P. (IEP) Files $1.2B Mixed Shelf Registration Statement - SI   https://t.co/S6TxZh1xA1,19
13875,$WIRES: On The Wires  https://t.co/XBVWroG6Xf,18
11561,"Some German power plants are not getting enough coal delivered because of low levels on the river Rhine, threatening to derail the country’s plan to store more fuel ahead of winter  https://t.co/d8VMBBbkH8",14
3741,"WATCH: Netflix hopes to capitalize on the popularity of its most successful shows and movies, facing a critical moment as subscriber counts plunge  https://t.co/hgrIKG1sFG  https://t.co/7oo4htm9mg",2
13597,"While the SEC climate proposal has support from environmental defenders, Democrats and some of the largest public pension funds, it’s been attacked by business lobbying groups and Republicans  https://t.co/hzovX5wIep",16
14402,Keep an eye on $FUBO after $DIS news,18
11735,From Breakingviews - Scorching U.S. inflation obscures patches of shade  https://t.co/xc4P7Y4dJl,14
8435,"Hard Times for Stock Pickers as Quants Roar Back, Bernstein Says  https://t.co/7C5B7Z4c3x",9
8786,From Breakingviews - China property crisis enters dangerous next phase  https://t.co/AjABkUTRfG,9
12045,"TOKYO'S NIKKEI SHARE AVERAGE OPENS UP 1.42% AT 26,892.73",15
15176,$FTCH - After 80% Sell-Off Farfetch Still Has Room To Trade Lower.  https://t.co/dSiVJfnanM #trading #markets #finance,18
14575,"$SPY $SPX #chart #update   $4000 en route by end of week, $4054, $4076, $4100 and $4200 after.  $4076-$4121 can be top but if broken we push near $4200.  https://t.co/cxY8w8efIF",18
10387,"ICYMI: The IMF warned it will again cut the forecast for global economic growth as impacts reverberate from Russia’s invasion of Ukraine, pandemic-related shutdowns in China and higher inflation  https://t.co/KpDp9AUjal",14
8887,"Heard on the Street: Like many economically sensitive assets, copper is sending an extraordinarily bearish signal--pessimism that may be justified  https://t.co/MORw8RzvGe",10
14732,@MalibuInvest $STNG ... the last one left standing!  Feels like it's topping out here. And a good one for next week,18
7704,Spiraling prices are the product of a post-pandemic wanderlust that’s been impervious to soaring inflation  https://t.co/POGFsr6ONP,9
14466,$PETZ is back !!!,18
5778,"European natural gas falls after Canada said it would return a stranded turbine for a key Russian pipeline to Germany, raising optimism that tensions with Moscow will ease  https://t.co/Mfc47OOM0P",6
11791,Dow sinks 300 points on the back of June’s hot inflation report  https://t.co/CTkz2g4CTD,15
6563,"India’s central bank is for an orderly appreciation or depreciation in the currency and is intervening in all market segments to curb volatility, Governor Shaktikanta Das says  https://t.co/F8tMTTYIEu",1
10696,CHINA DEFENCE MINISTRY: CHINESE MILITARY TO TAKE ALL NECESSARY MEASURES TO SAFEGUARD NATIONAL SOVEREIGNTY,14
4781,"Pediatrix Medical Group 2022 Second Quarter Conference Call/Webcast Scheduled for Thursday, August 4, 2022  https://t.co/o0OkCLjoUK  https://t.co/R2BjVxCG1H",5
15967,"$SUMRX: Gapping up/down: UNH +2% after earnings, ALLO +10% after upgrade at GS; PNC -2%, WFC -1% and BLK -1% after...  https://t.co/g90Fx87VKY",19
4481,"Wipro Limited Announces Results for the Quarter ended June 30, 2022 under IFRS  https://t.co/n4sxtiYsGd  https://t.co/YEUtiTfjNT",5
8849,India escalates crackdown on Chinese phone makers  https://t.co/sTPcfZpXDG,9
10122,The Worldwide Aluminum Casting Industry is Expected to Reach $117 Billion by 2027 -  https://t.co/guyiBzPH8C  https://t.co/IpLhPqDSon  https://t.co/NbOTGlpsHB,14
9505,$STGW: Stagwell announces the acquisition of PEP Group; financial terms were not disclosed  https://t.co/vTGIdFCeco,13
1606,"VICI Properties Inc. Expands Great Wolf Resorts Partnership with Investment in New Collier County, Florida Resort  https://t.co/XkilgNzhqB  https://t.co/FKcPtCplmR",2
12482,BeiGene Appoints Chan Lee as General Counsel  https://t.co/aXPLuWeXEx  https://t.co/fQCMZ6kyHO,17
12062,".@ines_ferre looks at market and sector gains, bank stocks, $UNH, $NDX leaders, Chinese stocks, the U.S. dollar, and $WTI crude oil prices.  https://t.co/HIpcn4jR30",15
9419,"WATCH: China is set to impose a fine of more than $1 billion on ride-hailing app Didi Global, sources said. The penalty could pave the way for Beijing to ease a restriction banning Didi from adding new users to its platform  https://t.co/hTZZYxaWZZ  https://t.co/IThy1j6I0b",12
11423,"India is considering lowering the recently-implemented windfall tax as profits of fuel exporters and oil producers dwindle due to the crash in global crude prices, sources say  https://t.co/EhZBVhyWgQ",14
14133,SMH names on the move I own a few here.,18
2300,BREAKING: Netflix lost 970K subscribers last quarter,2
14700,@RickyJ0914 $30,18
638,$NVAX: Novavax confirms that its COVID-19 vaccine has received EUA from the FDA  https://t.co/y9BxVOTqGF,2
8234,How China’s WeChat became so powerful it could have posed a real threat to Beijing’s rule  https://t.co/x5Y6VS777x via @BW  https://t.co/QnNuEzGUP6,9
11738,WATCH: Britain’s economy saw an unexpected jump in May on the back of a rise in doctor appointments and demand for holidays  https://t.co/dfurqj5R0M  https://t.co/ngirODwxOD,14
1932,"Merck and Orion Announce Global Collaboration for the Development and Commercialization of ODM-208, an Investigational Steroid Synthesis Inhibitor for the Treatment of Metastatic Castration-Resistant Prostate Cancer  https://t.co/JqZeORoMtS  https://t.co/VY2e2hVwK4",2
14244,They crushed $AZTA 16% for that warning today...see if that tone trickles through Life Sciences this Q,18
9549,"Virtual, Inc. Acquires Award-Winning Digital Marketing Agency inMotion  https://t.co/vGxvMBtyvE  https://t.co/k8XgTTNQSl",13
64,"$ZG: Zillow finally gets an analyst upgrade, which we found notable, but will other firms follow suit?  https://t.co/WR1thzlRb8",0
7942,"Bankrupt Celsius Network's bad math is haunted by an old bankers' joke, writes @Reganonymous in the Bloomberg Crypto newsletter  https://t.co/GXxG7IR1wu",9
8875,"Gold steadies near 9-month lows, silver slides to weakest since summer 2020  https://t.co/2CXTv3bYTq",10
9172,Audit watchdog to overhaul UK corporate governance code  https://t.co/Dqi53JNZnx,12
4275,$COO - The Cooper Companies declares $0.03 dividend  https://t.co/ZFkh999FQF,4
8387,"Banks need more backing from the public sector to manage risks from climate-related projects while such contracts should provide returns, said a panel of market participants  https://t.co/z6GUF92xF2",9
3654,"Franklin Templeton Investments, the roughly $1.4 trillion asset manager known for its mutual-fund business, has its sights set on getting bigger in the cut-throat ETF market  https://t.co/l6srzanbTi",2
3052,"Air New Zealand is focused on the future of passenger comfort, with plans for long haul #flights outfitted with amenities like nap areas 😴. @FlyAirNZ CEO Greg Foran joined Yahoo Finance Live on July 11 to explain the ‘Skynest'.  https://t.co/dIQsMncejM",2
5469,U.S. WTI CRUDE OIL FUTURES FOR SEPTEMBER FALL $2 TO $98.74 A BARREL,6
15212,$TFC - Is Truist Financial Stock A Buy After Dividend Hike Announcement?.  https://t.co/og70VEkFG8 #stockmarket #economy #business,18
15972,$WIT: Wipro shares -3% after Morgan Stanley downgraded to Underweight from Overweight  https://t.co/7vvv9hJ5gc,19
14364,$XELA breaks abv 12c,18
16800,$DCO - Ducommun announces new credit facility  https://t.co/c5OrVNk45A,3
16124,$CCL $CUK $CUKPF - Carnival stock slumps on pricing $1B stock offering  https://t.co/PwlPa45hEv,19
5195,$BK - The Bank of New York Mellon Corporation (BK) CEO Todd Gibbons on Q2 2022 Results - Earnings Call Transcript.  https://t.co/JfXtHYgAOB #trading #economy #investing,5
8070,South Africa is set to tackle “mafia” groups that have compromised power utility Eskom’s operations and contributed to nationwide blackouts  https://t.co/Lf516cJX8H,9
13537,Legal powerhouse Gloria Allred says the November midterms must be a clarion call for justice after the Supreme Court overturned Roe v. Wade  https://t.co/7e1jPQcwsy,16
14737,Can bitcoin sustain its rally? Here’s what to watch  https://t.co/JXQ4lzuMGV,18
3845,"Something I observed over 2+ decades in markets is that when a trend gets steeper and steeper to the point where it's about to do a backward somersault, and when EVERYONE is talking about it: It's usually close to the trend exhausting. US Dollar index looking that way. #USDollar  https://t.co/ZKFl4LNVXl",8
16465,$LODE (+8.9% pre) Comstock Inc. Files for Patent to Produce Biofuels - MW   https://t.co/akeTVkDMPL,19
13519,"An unprecedented global agreement on how to tax corporations, a key diplomatic win of Biden’s administration, is at risk of unraveling after members of his own party delayed a crucial vote  https://t.co/GyrKu3ZNoe",16
16301,$FZT $FZT.U $FST - SPAC Fast Acquisition II ticks higher on deal to take Falcon's Beyond public  https://t.co/sHwYdnAaDE,19
11268,Most US cities will pour their share of the federal infrastructure spending package into fixing crumbling roads and bridges  https://t.co/zmYxfDVvdn,14
11034,US Net Long-Term TIC Flows May $155.3B: (prev $87.7B; prevR $87.2B)   - US Total Net TIC Flows May $182.5B: (prev $1.3B; prevR -$2.7B),14
14567,Is now the time to buy $TGT?  https://t.co/XbNix1MVtG,18
1954,Smart Launches Keystone – a New Technology Platform to Solve the Global Retirement Problem  https://t.co/N9FV1K3msQ  https://t.co/evMrrVPSe9,2
2603,$BA $AER - Boeing wins order for up to 66 737 MAX jets from 777 Partners  https://t.co/1Ta73H92Fu,2
1555,Half Year Median Technologies Liquidity Contract Statement Contracted with TP ICAP  https://t.co/zsnMEHBz5B  https://t.co/7bFGVh2vAA,2
999,Keysight Introduces Cloud-Based End-to-End Open RAN Architect Test Solutions  https://t.co/9vknHbxskt  https://t.co/hjJKPeu2li,2
14711,Still haven't started short position in $TSLA yet ... but interesting to see how the stock got rejected at bear flag resistance today following last week's bounce...  https://t.co/THnnxB26AT,18
5811,What happens to oil prices when fear of a recession collides with one of the strongest physical oil markets ever? They tumble  https://t.co/2tHBnbAtl0,6
10489,"Applications for unemployment benefits have steadily climbed since the spring, a sign of a cooling labor market  https://t.co/ck1XJbAQYA",14
7178,Goldman's trading income cushions profit hit from ebbing deals  https://t.co/Ceom33XadF,7
344,Google will let Android developers use rival payments systems Europe  https://t.co/s02NcOI8Yh,2
15247,$AR - Antero Resources: Not Worth The Risk At This Price (Technical Analysis).  https://t.co/NKgDmnatdf #investing #trading #finance,18
3236,Alphyn Capital Management Letter To Investors Q2 2022.  https://t.co/SysoHJf2Yp #trading #business #markets,2
11893,#SPX daily - post FOMC rally played out as expected with 4300 acting as perfect resistance. Possible that an inverted H&amp;S pattern tries to form with 4240 support. Solid resistance at 4400 should market continue to edge higher. Keep in mind prior FOMC rallies have fizzled out  https://t.co/1oMEy8Ue1T,15
16848,Mortgage rates edge higher this week  https://t.co/STUJeOayMF by @__gabriellacruz  https://t.co/GPAZtrMFoM,3
15465,$MGDDF - Michelin: Looking At The Russia Exit Implications.  https://t.co/kNqBrDBH0A #trading #stocks #finance,18
12393,Leading Fund Administrator Alter Domus Appoints Gus Harris to its Group Executive Board  https://t.co/IN7I8GUXno  https://t.co/spsCqixkcR,17
12120,Traders Are Predicting A Selloff In UK Markets If Liz Truss Wins - BBG   https://t.co/KZhSy6kMsg,15
15851,"Tesla reported earnings after the bell, and the results sent the stock up slightly after hours.  https://t.co/VrIoPN13TU",19
4625,"Surge Components, Inc. Announces Fiscal Second Quarter 2022 Results  https://t.co/5bnaGaPPyQ",5
9206,$TWTR - Company CEO Parag Agrawal says 'we will prevail' in suit against Elon Musk  https://t.co/pdt3WY14H6,12
4465,"2Q22: Alcoa Posts Strong Financial Results, Provides Returns to Stockholders  https://t.co/Rd1lGSoilw  https://t.co/b7xrLd43gd",5
16401,$AA (+3.6% pre) Alcoa (AA) Beats Q2 Earnings and Revenue Estimates - Zacks   https://t.co/uCSPq4IJtH,19
6818,$ACLS: Axcelis Tech sees Q2 revs at high end of guidance  https://t.co/2tdx6UPyBN,7
6827,Citi $C out of left-field smashes estimates after all the other Banks missed...of course that's the name Buffett bought last quarter 🐐,7
11931,U.S. stock futures struggling for traction after Apple news revives recession fears  https://t.co/suhDnGJdf3,15
13843,$MAXR $PBR $WDH,18
8112,"Three Arrows became the most important hedge fund in crypto. But when the price of Bitcoin fell, the fund's sudden collapse rocked the industry.  Read The Big Take ⬇️  https://t.co/Ykf4uf5jVj",9
10673,MALAYSIA EXPORTS TO BIGGEST TRADING PARTNER CHINA ROSE 4.2% ON-YEAR IN JUNE,14
11071,China ForMin Wang: China-US Ties Are At A `Critical' Moment - Xinhua,14
6222,"St. Louis Fed Financial Stress Index declines in the week ended July 8, to -1.3021, down from -1.1498 a week earlier (0=normal stress)  https://t.co/Sw72JreYMg  https://t.co/FhSIFKWjVA",1
7478,"“We need to be a good, constructive actor in this space,” FTX founder and CEO Sam Bankman-Fried said at the Bloomberg Crypto Summit in New York  https://t.co/JkDQTiT1qG",9
12910,Ministers set to back next wave of City of London reforms  https://t.co/H5T1IHLSQM,16
15339,$KIND - Taking A Shine To Nextdoor Holdings.  https://t.co/JL6ROdfL0i #stockmarket #markets #economy,18
3478,Amazon’s UK grocery business will match prices on hundreds of everyday items to those offered by rival Tesco in an aggressive move against Britain’s largest supermarket chain  https://t.co/qqkffnP4cF,2
4648,Rio Tinto releases second quarter production results  https://t.co/N01KfA6CEm  https://t.co/AqBn813zuT,5
13758,$TSLA inside day so far. Holding above ma support. Getting tight under descending tl. Normal Monthly Opex pin action so far.  Might see a clear direction next week.,18
2542,"$KPTI - Karyopharm cancer therapy eltanexor gets FDA fast track status, orphan drug tag in EU  https://t.co/9iltTth3yj",2
2870,$NETI - Eneti's related party purchases 153.8K shares in open market  https://t.co/ba5caGrpnQ,2
8945,$CJOY - Cine Top Culture Seeks $18 Million U.S. IPO.  https://t.co/eM2quuKPbZ #investing #business #markets,11
3073,.@KFC tests new chicken nuggets in aim to reach Gen Z  https://t.co/nGsO0pfJSS by @BrookeDiPalma $YUM  https://t.co/6yfusNLRdN,2
12074,The Dow slipped and the euro strengthened against the dollar after the European Central Bank raised interest rates  https://t.co/eaNwQKJLXm,15
2026,"Unifi Protocol Debuts Decentralized Arbitrage Solution, Merging Private DeFi with High Security and Sustainable Returns  https://t.co/7TgG0BYrJ8  https://t.co/5E7aJSUzBW",2
7463,"Some suppliers to Chinese real estate developers are refusing to repay bank loans because of unpaid bills owed to them, a sign that the loan boycott that started with homebuyers is starting to spread  https://t.co/7HZWJW4m8i",9
7415,[FaZe] FAZE has entered the chat  https://t.co/gdEOrgqIrS,9
4690,Altria to Host Webcast of 2022 Second-Quarter and First-Half Results  https://t.co/tU7NtVhlak  https://t.co/KmKETLdde7,5
2936,"META SAYS INTRODUCING HOME AND FEEDS ON FACEBOOK  META SAYS LAUNCHING THE FEEDS TAB, A NEW WAY TO FIND MOST RECENT POSTS FROM FRIENDS, FAVORITES, PAGES AND GROUPS ON FACEBOOK  META SAYS INTRODUCING THE NAME HOME FOR THE TAB WHICH USERS FIRST SEE WHEN THEY OPEN FACEBOOK",2
15256,$PINS - Pinterest: Expansion Into Social Commerce To Open Growth Opportunities.  https://t.co/yV33ThB9dT #economy #investing #trading,18
8671,"@bennpeifert One theme of ""A History of U.S. in Five Crashes"" is every modern crash is fueled by a financial contraption which injects financial leverage into system which is on edge.  1907 - Saving trusts 1929 - Investment trusts 1987 - Port. insurance 2008 - MBS 2010 - Algorithmic trading  https://t.co/gVcrGh50cV",9
10650,IRELAND (JUL) IRISH CONSUMERS CONFIDENCE ACTUAL: 53.7 VS 57.7 PREVIOUS,14
4898,$MAT - Mattel Q2 2022 Earnings Preview  https://t.co/xMfdkTTPo1,5
2451,"Microsoft will handle the technology and sales needed for Netflix to offer an ad-supported subscription plan, a Microsoft executive disclosed in a blog post on Wednesday. The plan is expected to be cheaper than other Netflix streaming options.   https://t.co/emneJUDeUX",2
13947,$WIRES: On The Wires  https://t.co/sWELynFAfW,18
15789,Altcoins are outperforming crypto bellwether Bitcoin as risk appetite returns to global financial markets  https://t.co/HtDEUcaMub,18
4206,$SPHD - Invesco S&amp;P 500 High Dividend Low Volatility ETF declares monthly distribution of $0.1406  https://t.co/UszTacQrci,4
11217,"China’s economic growth will likely slip below 4% this year as the nation’s Covid Zero policy, a crisis in the property sector and a darkening global outlook continue to weigh on the country  https://t.co/8Airw3PKPt",14
11983,European markets higher after China’s economic growth slumps  https://t.co/FulYFC1e75,15
6816,#PepsiCo's headline numbers popped in Q2 despite facing strong inflationary pressures $PEP $CASY $WMK $TA $KO $KDP  https://t.co/jH0itXmJkN #snacks #beverages #earnings #inflation #ratehike #stockmarket,7
